n         ,kappa    ,lambda,flux, energy, radius, A0max
-5.000000 38.000000 0.045000 -4.994838 49.361008 7.689501 0.744633
-6.000000 38.000000 0.045000 -5.991545 59.028063 8.107356 0.745116
-7.000000 38.000000 0.045000 -6.993430 68.728692 8.484555 0.745489
-8.000000 38.000000 0.045000 -7.993174 78.392859 8.841426 0.745788
-9.000000 38.000000 0.045000 -8.993119 88.047611 9.166676 0.746035
-10.000000 38.000000 0.045000 -9.409034 96.700204 9.482890 0.746243
-10.000000 38.000000 0.045000 -10.034625 97.695542 9.482890 0.746243
-100.000000 38.000000 0.045000 -99.339323 957.711178 22.283080 0.748825
-100.000000 38.000000 0.045000 -99.979319 958.170041 22.283080 0.748825
-1.000000 38.000000 0.048000 1.688014 517.378377 11.845174 2.017224
-1.000000 38.000000 0.048000 -0.991898 9.711536 5.337246 0.745356
-2.000000 38.000000 0.048000 -2.146781 19.330110 6.285999 0.746431
-2.000000 38.000000 0.048000 -1.995307 19.314711 6.285999 0.746431
-5.000000 38.000000 0.048000 -4.994052 48.270887 8.004823 0.747848
-50.000000 38.000000 0.048000 -49.654938 477.200611 17.460171 0.749344
-50.000000 38.000000 0.048000 -49.976524 477.356505 17.460171 0.749344
-200.000000 38.000000 0.048000 -199.602516 1901.269327 31.029465 0.749674
-500.000000 38.000000 0.048000 -484.961890 51063.127348 53.044288 2.685366
-500.000000 38.000000 0.048000 -497.020501 11982.553814 48.579447 1.119190
-500.000000 38.000000 0.048000 -499.652938 4754.637953 46.751627 0.749793
-500.000000 38.000000 0.048000 -499.695748 4754.638884 46.751627 0.749793
-500.000000 38.000000 0.048000 -499.695748 4754.638884 46.751627 0.749793
-500.000000 38.000000 0.048000 -499.695748 4754.638884 46.751627 0.749793
-11.000000 50.000000 0.050000 -10.977634 129.316837 13.051844 0.758090
-12.000000 50.000000 0.050000 -11.981895 141.469315 13.397930 0.757745
-13.000000 50.000000 0.050000 -12.973336 153.536524 13.720553 0.757440
-14.000000 50.000000 0.050000 -13.972764 165.673229 14.040243 0.757168
-15.000000 50.000000 0.050000 -14.971756 177.817378 14.348201 0.756924
-16.000000 50.000000 0.050000 -15.970432 189.968958 14.650294 0.756703
-17.000000 50.000000 0.050000 -16.969151 202.131960 14.934789 0.756503
-18.000000 50.000000 0.050000 -17.968084 214.306164 15.216350 0.756319
-19.000000 50.000000 0.050000 -18.967723 226.497129 15.483247 0.756150
-20.000000 50.000000 0.050000 -19.969200 238.717851 15.747212 0.755993
1.000000 100.000000 0.010000 1.004925 96.310237 4.998852 2.348748
